NOMBRE,PROVINCIA,LATITUD,LONGITUD,ALTURA,NRO,NroOACI
VICTORICA,LA PAMPA,-36      13,-65      26,312.0,87616.0,SAHV
CHAMICAL AERO,LA RIOJA,-30      22,-66      17,461.0,87320.0,SACT
CHEPES,LA RIOJA,-31      20,-66      36,658.0,87322.0,SACP
CHILECITO AERO,LA RIOJA,-29      14,-67      26,947.0,87213.0,SANO
LA RIOJA AERO,LA RIOJA,-29      23,-66      49,429.0,87217.0,SANL
MALARGUE AERO,MENDOZA,-35      30,-69      35,1425.0,87506.0,SAMM
MENDOZA AERO,MENDOZA,-32      50,-68      47,704.0,87418.0,SAME
MENDOZA OBSERVATORIO,MENDOZA,-32      53,-68      51,827.0,87420.0,SAMK
SAN CARLOS (MZA),MENDOZA,-33      46,-69       2,940.0,87412.0,SAMS
SAN MARTIN (MZA),MENDOZA,-33       5,-68      25,653.0,87416.0,SAMI
SAN RAFAEL AERO,MENDOZA,-34      35,-68      24,748.0,87509.0,SAMR
USPALLATA,MENDOZA,-32      36,-69      20,1891.0,87405.0,SAMU
BERNARDO DE IRIGOYEN AERO,MISIONES,-26      15,-53      39,815.0,87163.0,SATI
IGUAZU AERO,MISIONES,-25      44,-54      28,270.0,87097.0,SARI
OBERA,MISIONES,-27      29,-55       8,303.0,87187.0,SATO
POSADAS AERO,MISIONES,-27      22,-55      58,125.0,87178.0,SARP
CHAPELCO AERO,NEUQUEN,-40       5,-71       8,779.0,87761.0,SAZY
NEUQUEN AERO,NEUQUEN,-38      57,-68       8,271.0,87715.0,SAZN
BARILOCHE AERO,RIO NEGRO,-41       9,-71      10,835.0,87765.0,SAZS
CIPOLLETTI,RIO NEGRO,-38      57,-67      58,265.0,87719.0,SAHI
EL BOLSON AERO,RIO NEGRO,-41      58,-71      31,337.0,87800.0,SAVB
MAQUINCHAO,RIO NEGRO,-41      15,-68      44,888.0,87774.0,SAVQ
RIO COLORADO,RIO NEGRO,-39       1,-64       5,79.0,87736.0,SAZQ
SAN ANTONIO OESTE AERO,RIO NEGRO,-40      47,-65       6,20.0,87784.0,SAVN
VIEDMA AERO,RIO NEGRO,-40      51,-63       1,7.0,87791.0,SAVV
METAN,SALTA,-25      29,-64      48,855.0,87050.0,SASM
ORAN AERO,SALTA,-23       9,-64      19,357.0,87016.0,SASO
RIVADAVIA,SALTA,-24      10,-62      54,205.0,87065.0,SASR
SALTA AERO,SALTA,-24      51,-65      29,1221.0,87047.0,SASA
TARTAGAL AERO,SALTA,-22      39,-63      49,450.0,87022.0,SAST
JACHAL,SAN JUAN,-30      14,-68      45,1175.0,87305.0,SAMJ
SAN JUAN AERO,SAN JUAN,-31      34,-68      25,598.0,87311.0,SANU
SAN LUIS AERO,SAN LUIS,-33      16,-66      21,713.0,87436.0,SAOU
SANTA ROSA DE CONLARA AERO,SAN LUIS,-32      23,-65      11,620.0,87444.0,SAOS
VILLA REYNOLDS AERO,SAN LUIS,-33      44,-65      23,486.0,87448.0,SAOR
EL CALAFATE AERO,SANTA CRUZ,-50      16,-72       3,204.0,87904.0,SAWC
GOBERNADOR GREGORES AERO,SANTA CRUZ,-48      47,-70      10,358.0,87880.0,SAWR
PERITO MORENO AERO,SANTA CRUZ,-46      31,-71       1,429.0,87852.0,SAWP
PUERTO DESEADO AERO,SANTA CRUZ,-47      44,-65      55,80.0,87896.0,SAWD
RIO GALLEGOS AERO,SANTA CRUZ,-51      37,-69      17,19.0,87925.0,SAWG
SAN JULIAN AERO,SANTA CRUZ,-49      19,-67      47,62.0,87909.0,SAWJ
SANTA CRUZ AERO,SANTA CRUZ,-50       1,-68      34,111.0,87912.0,SAWU
CERES AERO,SANTA FE,-29      53,-61      57,88.0,87257.0,SANW
EL TREBOL,SANTA FE,-32      12,-61      40,96.0,87470.0,SAFT
RAFAELA AERO,SANTA FE,-31      16,-61      30,99.0,87360.0,SAFR
RECONQUISTA AERO,SANTA FE,-29      11,-59      42,53.0,87270.0,SATR
ROSARIO AERO,SANTA FE,-32      55,-60      47,25.0,87480.0,SAAR
SAUCE VIEJO AERO,SANTA FE,-31      42,-60      49,18.0,87371.0,SAAV
SUNCHALES AERO,SANTA FE,-30      58,-61      20,92.0,87356.0,SAFS
VENADO TUERTO AERO,SANTA FE,-33      40,-61      58,112.0,87468.0,SAFV
SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ES,-27      46,-64      18,199.0,87129.0,SANE
TERMAS DE RIO HONDO AERO,SANTIAGO DEL ES,-27      29,-64      56,280.0,87127.0,SANR
RIO GRANDE B.A.,TIERRA DEL FUEG,-53      48,-67      45,22.0,87934.0,SAWE
USHUAIA AERO,TIERRA DEL FUEG,-54      48,-68      19,57.0,87938.0,SAWH
TUCUMAN AERO,TUCUMAN,-26      51,-65       6,450.0,87121.0,SANT
